Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
10/1/2015 16:00:00,42.96,116.07,57.48,115.38,144.56,77.93,295.92,68.59,93.17,116.61,140.8,98.58,98.44,90.13,88.38,96.55
10/2/2015 16:00:00,42.84,114.76,58.08,116.93,145.86,79.48,303.36,68.74,93.93,118.83,143.2,99.38,99.39,92.66,89.74,98.54
10/5/2015 16:00:00,44,115.91,59.04,118.38,148.07,81.82,313.61,70.75,94.76,119.65,146.32,101.53,101.62,94.59,93.46,100.72
10/6/2015 16:00:00,44.06,114.45,58.69,118.35,148.41,82.58,312.73,70.63,93.42,116.05,145.79,101.43,101.5,93.4,93.37,99.85
10/7/2015 16:00:00,43.85,115.25,58.78,119,147.96,83.24,320.64,71.98,94.98,116.43,147.54,102.24,102.62,94.31,94.24,99.93
10/8/2015 16:00:00,44.23,112.56,59.46,120.18,151.66,84.58,318.57,72.04,95.08,116.08,149.48,103.38,105.01,95.77,95.57,100.85
10/9/2015 16:00:00,44.16,113.07,60.07,120.52,153.97,83.52,318.11,71.5,95.37,119.27,149.9,103.68,104.78,95.97,94.94,101.05
10/12/2015 16:00:00,44.3,116.1,60.54,120.75,153.63,83.87,315.66,70.24,95.99,122.51,150.06,104.41,105.05,97.34,94.8,101.45
10/13/2015 16:00:00,44.36,114.82,60.16,120.55,152.28,82.16,315.12,69.15,95.45,123.99,149.11,103.3,103.48,97.18,93.7,101.24
10/14/2015 16:00:00,43.99,116.5,58.82,120.25,149.84,82.47,322.47,68.98,94.53,122.07,148.32,102.86,102.43,97.32,93.06,100.93
10/15/2015 16:00:00,44.67,115.58,59.69,120.18,151.77,83.49,325.63,70.2,97.15,120.17,149.19,103.8,102.3,99.26,94.65,103.2
10/16/2015 16:00:00,44.7,116.08,59.93,121.92,152.06,84.12,330.83,70.8,98.24,119.98,148.7,103.95,103.01,100.74,96.13,103.66
