Date,AMT,HD,FB,MSFT,WMT
2015-10-02,89.74,117.81,92.07,45.57,64.98
2015-10-05,93.46,119.2,94.01,46.63,65.87
2015-10-06,93.37,118.68,92.8,46.75,65.68
2015-10-07,94.24,119.65,92.4,46.8,66.36
2015-10-08,95.57,121.06,92.47,47.45,66.88
2015-10-09,94.94,121.33,93.24,47.11,66.69
2015-10-12,94.8,121.9,94.26,47,66.93
2015-10-13,93.7,121.61,94.12,46.89,66.73
2015-10-14,93.06,120.27,94.07,46.68,60.03
2015-10-15,94.65,121.81,95.96,47.01,59.33
2015-10-16,96.13,122.74,97.54,47.51,58.89
2015-10-19,96.79,123.1,98.47,47.62,58.85
2015-10-20,96.91,122.85,97,47.77,58.75
2015-10-21,96.06,123.3,97.11,47.2,58.64
2015-10-22,99.47,124.36,99.67,48.03,58.9
2015-10-23,99.17,124.61,102.19,52.87,58.3
2015-10-26,99.53,125.01,103.77,54.25,58.02
2015-10-27,99.27,124.47,103.7,53.69,57.48
2015-10-28,100.87,123.82,104.2,53.98,57.64
2015-10-29,101.96,123.63,104.88,53.36,57.96
2015-10-30,102.23,123.64,101.97,52.64,57.24
2015-11-02,104.06,124.41,103.31,53.24,57.61
2015-11-03,103.28,125.66,102.58,54.15,58.11
2015-11-04,102.23,125.38,103.94,54.4,58.37
2015-11-05,100.87,125.72,108.76,54.38,58.61
2015-11-06,98.03,125.98,107.1,54.92,58.78
2015-11-09,97.11,124.5,106.49,54.16,58.49
2015-11-10,97.13,125.26,107.91,53.51,58.68
2015-11-11,97.62,124.71,109.01,53.65,57.58
2015-11-12,97.35,123.81,108.02,53.32,56.95
2015-11-13,96.38,120,103.95,52.84,56.42
2015-11-16,98.05,120.84,104.04,53.77,57.87
2015-11-17,98.35,126.18,105.13,52.97,59.92
2015-11-18,99.66,126.54,107.77,53.85,60.93
2015-11-19,99.63,126.86,106.26,53.94,60.7
2015-11-20,100.49,130.21,107.32,54.19,60.07
2015-11-23,99.94,132.5,106.95,54.19,60.26
2015-11-24,99.26,133.6,105.74,54.25,59.92
2015-11-25,99.09,134.65,105.41,53.69,60.24
2015-11-27,99.68,134.74,105.45,53.93,59.89
2015-11-30,99.38,133.88,104.24,54.35,58.84
2015-12-01,101.17,134.43,107.12,55.22,58.99
2015-12-02,99.46,133.81,106.07,55.21,58.35
2015-12-03,97.89,130.93,104.38,54.2,59.04
2015-12-04,97.55,134.53,106.18,55.91,59.66
2015-12-07,97.69,133.93,105.61,55.81,60.5
2015-12-08,96.88,133.84,106.49,55.79,59.61
2015-12-09,95.54,131.9,104.6,54.98,59.13
2015-12-10,95.07,132.54,105.42,55.27,59.56
2015-12-11,93.68,130.44,102.12,54.06,59.36
2015-12-14,94.04,132.01,104.66,55.14,60.39
2015-12-15,95.61,131.29,104.55,55.2,59.64
2015-12-16,97.5,132.9,106.79,56.13,60.3
2015-12-17,96.09,131.35,106.22,55.7,58.98
2015-12-18,94.6,130.29,104.04,54.13,58.85
2015-12-21,95.56,131.31,104.77,54.83,59.55
2015-12-22,96.42,131.88,105.51,55.35,60.54
2015-12-23,98.5,133.11,104.63,55.82,61.09
2015-12-24,98.14,132.9,105.02,55.67,60.83
2015-12-28,98.37,132.68,105.93,55.95,60.75
2015-12-29,99.41,133.7,107.26,56.55,61.61
2015-12-30,98.1,133.35,106.22,56.31,61.68
2015-12-31,96.95,132.25,104.66,55.48,61.3
2016-01-04,96.7,131.07,102.22,54.8,61.46
2016-01-05,98.61,130.43,102.73,55.05,62.92
2016-01-06,98.26,129.08,102.97,54.05,63.55
2016-01-07,95.81,125.4,97.92,52.17,65.03
2016-01-08,94.23,123.9,97.33,52.33,63.54
2016-01-11,94.48,125.78,97.51,52.3,64.22
2016-01-12,94.48,127.49,99.37,52.78,63.62
2016-01-13,92.15,121.4,95.44,51.64,61.92
2016-01-14,92.21,119.62,98.37,53.11,63.06
2016-01-15,88.39,119.23,94.97,50.99,61.93
2016-01-19,90.91,119.76,95.26,50.56,62.56
2016-01-20,89,116.46,94.35,50.79,60.84
2016-01-21,90.02,120.22,94.16,50.48,61.88
2016-01-22,93.25,122.76,97.94,52.29,62.69
2016-01-25,91.12,121.71,97.01,51.79,63.45
2016-01-26,92.47,122.2,97.34,52.17,64
2016-01-27,92.51,121.57,94.45,51.22,63.95
2016-01-28,92.51,122.28,109.11,52.06,64.22
2016-01-29,94.34,125.76,112.21,55.09,66.36
2016-02-01,93.1,126.51,115.09,54.71,67.5
2016-02-02,91.35,125.27,114.61,53,66.86
2016-02-03,90.49,123.79,112.69,52.16,66.27
2016-02-04,91.09,121.11,110.49,52,66.42
2016-02-05,88.84,116.43,104.07,50.16,67
2016-02-08,85.41,111.85,99.75,49.41,66.9
2016-02-09,85.57,113.86,99.54,49.28,65.81
2016-02-10,85.84,114.33,101,49.71,65.79
2016-02-11,83.66,113.27,101.91,49.69,65.32
2016-02-12,85.67,116.32,102.01,50.5,66.18
2016-02-16,86.45,119.43,101.61,51.09,65.9
2016-02-17,86.19,121.21,105.2,52.42,66.11
2016-02-18,87.5,119.97,103.47,52.19,64.12
2016-02-19,87.32,121.69,104.57,51.82,64.66
2016-02-22,89.24,122.85,107.16,52.65,65.63
2016-02-23,88.02,124.53,105.46,51.18,66.48
2016-02-24,89.03,125.61,106.88,51.36,67.12
2016-02-25,89.42,126.86,108.07,52.1,68.04
2016-02-26,90.01,126.26,107.92,51.3,66.51
2016-02-29,92.2,124.12,106.92,50.88,66.34
2016-03-01,94.7,125.7,109.82,52.58,66.46
2016-03-02,94.62,125.59,109.95,52.95,66.21
2016-03-03,95.3,126.8,109.58,52.35,66.14
2016-03-04,95.94,125.56,108.39,52.03,66.78
2016-03-07,95.6,126.17,105.73,51.03,67.89
2016-03-08,94.6,126.72,105.93,51.65,68.04
2016-03-09,94.6,126.03,107.51,52.84,67.53
