,ORCL,SQ,NVDA,BABA,PFE,NFLX,CRM,GD,AMT,HD,FB,MSFT,WMT,VZ,MCD,SBUX,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,NEE
2015-10-01,,,,,,,,,,,,,,42.96,116.07,57.48,115.38,144.56,77.93,295.92,68.59,93.17,116.61,140.8,98.58,98.44,90.13,96.55
2015-10-02,,,,,,,,,89.74,117.81,92.07,45.57,64.98,42.84,114.76,58.08,116.93,145.86,79.48,303.36,68.74,93.93,118.83,143.2,99.38,99.39,92.66,98.54
2015-10-05,,,,63.93,27.822315000000003,111.25,75.269997,129.018661,93.46,119.2,94.01,46.63,65.87,44.0,115.91,59.04,118.38,148.07,81.82,313.61,70.75,94.76,119.65,146.32,101.53,101.62,94.59,100.72
2015-10-06,,,,63.919998,27.248917,108.330002,74.41999799999998,125.921211,93.37,118.68,92.8,46.75,65.68,44.06,114.45,58.69,118.35,148.41,82.58,312.73,70.63,93.42,116.05,145.79,101.43,101.5,93.4,99.85
2015-10-07,,,,66.279999,27.664425,108.099998,75.0,126.272095,94.24,119.65,92.4,46.8,66.36,43.85,115.25,58.78,119.0,147.96,83.24,320.64,71.98,94.98,116.43,147.54,102.24,102.62,94.31,99.93
2015-10-08,,,,67.699997,27.498219,114.93,75.089996,127.666481,95.57,121.06,92.47,47.45,66.88,44.23,112.56,59.46,120.18,151.66,84.58,318.57,72.04,95.08,116.08,149.48,103.38,105.01,95.77,100.85
2015-10-09,,,,68.709999,27.622873,113.330002,75.25,128.395203,94.94,121.33,93.24,47.11,66.69,44.16,113.07,60.07,120.52,153.97,83.52,318.11,71.5,95.37,119.27,149.9,103.68,104.78,95.97,101.05
2015-10-12,,,,70.300003,27.606255,113.449997,75.879997,129.267853,94.8,121.9,94.26,47.0,66.93,44.3,116.1,60.54,120.75,153.63,83.87,315.66,70.24,95.99,122.51,150.06,104.41,105.05,97.34,101.45
2015-10-13,,,,69.68,27.406809000000006,109.730003,76.629997,127.486572,93.7,121.61,94.12,46.89,66.73,44.36,114.82,60.16,120.55,152.28,82.16,315.12,69.15,95.45,123.99,149.11,103.3,103.48,97.18,101.24
2015-10-14,,,,68.540001,27.456671000000004,110.230003,75.58000200000002,125.498367,93.06,120.27,94.07,46.68,60.03,43.99,116.5,58.82,120.25,149.84,82.47,322.47,68.98,94.53,122.07,148.32,102.86,102.43,97.32,100.93
2015-10-15,,,,71.779999,28.320927,101.089996,77.699997,127.108765,94.65,121.81,95.96,47.01,59.33,44.67,115.58,59.69,120.18,151.77,83.49,325.63,70.2,97.15,120.17,149.19,103.8,102.3,99.26,103.2
2015-10-16,,,,71.989998,28.595156,98.989998,78.769997,127.477577,96.13,122.74,97.54,47.51,58.89,44.7,116.08,59.93,121.92,152.06,84.12,330.83,70.8,98.24,119.98,148.7,103.95,103.01,100.74,103.66
2015-10-19,,,,72.650002,28.66995,101.690002,77.93,127.072762,96.79,123.1,98.47,47.62,58.85,44.7,115.16,60.97,121.72,153.22,81.62,327.88,70.26,97.94,120.73,148.0,104.26,103.1,101.18,103.77
2015-10-20,,,,71.790001,28.254442,98.989998,77.529999,127.072762,96.91,122.85,97.0,47.77,58.75,45.24,117.49,60.88,122.08,154.56,81.6,327.15,70.55,97.59,120.42,149.11,104.56,103.47,101.38,103.94
2015-10-21,,,,69.480003,27.805698,97.959999,75.83000200000002,128.728073,96.06,123.3,97.11,47.2,58.64,44.86,116.07,60.53,122.06,155.21,80.5,321.98,69.64,97.63,118.11,149.82,105.26,102.52,100.64,104.2
2015-10-22,,,,70.989998,27.697664000000003,97.32,77.370003,132.470505,99.47,124.36,99.67,48.03,58.9,45.89,116.15,61.49,123.6,158.15,82.61,335.35,74.25,99.53,113.81,156.0,106.43,106.46,103.62,105.71
2015-10-23,,,,75.620003,28.295992,100.040001,78.559998,133.397171,99.17,124.61,102.19,52.87,58.3,46.16,113.68,62.61,123.25,155.74,83.35,340.79,74.39,100.31,115.92,155.79,106.8,107.99,103.99,104.56
2015-10-26,,,,76.349998,28.3874,103.040001,78.220001,133.280167,99.53,125.01,103.77,54.25,58.02,46.36,112.37,63.43,122.04,156.73,83.0,337.02,74.19,99.94,116.53,156.54,106.18,107.97,103.93,103.85
2015-10-27,,,,79.440002,29.077148,103.07,77.75,133.505096,99.27,124.47,103.7,53.69,57.48,46.17,113.86,62.71,121.89,157.76,83.56,335.57,73.95,100.19,119.37,156.73,103.1,107.87,102.93,104.1
2015-10-28,,,,82.349998,29.459412,105.800003,78.529999,135.646194,100.87,123.82,104.2,53.98,57.64,46.48,114.63,63.51,122.63,157.76,84.89,346.32,75.24,100.48,119.78,158.08,102.63,109.73,104.33,102.95
2015-10-29,,,,82.220001,28.894325,105.120003,78.139999,134.917526,101.96,123.63,104.88,53.36,57.96,46.4,113.61,62.5,122.72,158.28,86.43,349.86,75.38,101.37,119.71,157.61,103.47,107.95,104.28,101.78
2015-10-30,,,,83.83000200000002,28.104862,108.379997,77.709999,133.667053,102.23,123.64,101.97,52.64,57.24,46.88,113.13,62.57,121.94,158.12,89.05,351.97,75.62,101.03,117.78,157.21,103.02,107.2,104.26,102.66
2015-11-02,,,,84.349998,29.135317,107.639999,79.199997,133.792969,104.06,124.41,103.31,53.24,57.61,46.78,114.54,62.24,125.7,159.15,90.6,354.57,76.19,102.17,118.69,159.92,104.57,107.6,104.0,102.23
2015-11-03,,,,83.440002,29.06053,109.739998,78.629997,132.398544,103.28,125.66,102.58,54.15,58.11,46.45,114.95,62.8,124.63,158.8,92.67,358.47,76.68,101.96,117.66,158.75,104.48,107.31,104.19,102.31
2015-11-04,,,,85.400002,28.599777000000003,114.050003,78.389999,132.497498,102.23,125.38,103.94,54.4,58.37,46.14,114.3,61.96,124.2,157.15,93.33,356.49,76.19,101.94,114.64,158.91,104.0,106.52,103.86,103.22
2015-11-05,,,,85.379997,28.60816,113.5,78.709999,132.308594,100.87,125.72,108.76,54.38,58.61,46.2,115.59,62.28,124.22,156.27,93.68,357.3,76.67,102.33,116.23,158.99,104.23,106.09,103.21,102.1
2015-11-06,,,,83.610001,28.423853,114.059998,79.410004,131.274033,98.03,125.98,107.1,54.92,58.78,45.78,114.57,61.97,122.28,157.55,92.75,356.7,76.93,101.92,114.81,159.26,104.99,106.0,103.0,98.84
2015-11-09,,,,81.379997,28.189297,109.860001,78.220001,129.807587,97.11,124.5,106.49,54.16,58.49,45.3,115.24,61.34,121.88,155.16,92.01,349.57,75.53,100.84,114.26,157.47,104.01,104.88,101.73,98.91
2015-11-10,,,,81.43,28.306578,112.699997,78.25,129.492783,97.13,125.26,107.91,53.51,58.68,45.1,114.44,62.18,122.28,156.41,92.1,350.27,76.16,101.45,115.89,157.59,104.34,105.07,101.12,99.0
