,AMT,AMT,AMT,AMT,AMT,BABA,BABA,BABA,BABA,BABA,BLK,BLK,BLK,BLK,BLK,COST,COST,COST,COST,COST,CRM,CRM,CRM,CRM,CRM,FB,FB,FB,FB,FB,MSFT,MSFT,MSFT,MSFT,MSFT,NFLX,NFLX,NFLX,NFLX,NFLX,NVDA,NVDA,NVDA,NVDA,NVDA,ORCL,ORCL,ORCL,ORCL,ORCL,PFE,PFE,PFE,PFE,PFE,PPG,PPG,PPG,PPG,PPG,SPY,SPY,SPY,SPY,SPY,SQ,SQ,SQ,SQ,SQ,TROW,TROW,TROW,TROW,TROW,UNH,UNH,UNH,UNH,UNH
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2015-11-19,99.87,100.26,99.22,99.62,1223026.0,78.06,79.15,77.403,77.91,12089473,360.53,361.0347,357.95,359.06,324303.0,161.69,163.21,161.44,162.83,2496431,81.05,82.9,80.45,80.61,10181904,107.36,107.73,105.95,106.26,23112337,53.99,54.66,53.781,53.94,24682568,120.21,123.13,119.61,120.19,17349452,31.14,31.43,30.8899,31.12,5582977,38.67,39.32,38.62,39.03,10307216,32.79,32.97,31.95,32.29,77611954,104.23,104.57,102.8839,103.37,939442.0,208.59,209.05,208.2,208.53,61897641,11.2,14.78,11.05,13.04,46006308,76.38,76.48,76.01,76.38,521700,109.74,113.71,109.61,110.61,13240076.0
2015-11-20,100.2,100.87,99.53,100.47,1023837.0,78.44,80.785,78.4,79.965,19449298,361.07,363.57,360.8,362.4,354459.0,164.16,164.47,162.75,163.1,1488946,80.9,82.1397,79.71,81.0,4517822,106.84,107.87,106.62,107.35,19198558,54.25,54.3,53.265,54.18,31681860,120.85,124.07,119.21,123.85,16329698,31.35,31.57,31.16,31.39,5158408,39.25,39.575,39.2,39.33,10242859,32.55,32.59,32.08,32.18,59537778,103.5,105.08,103.31,104.6,1081463.0,209.45,210.12,208.86,209.35,67021762,13.92,14.05,12.5,12.8,15450066,76.67,76.91,75.91,76.38,671459,111.01,114.44,110.6,113.0,5609101.0
2015-11-23,100.49,100.67,99.45,99.93,755145.0,80.45,82.19,79.97,81.31,16904194,362.85,364.555,361.07,363.25,290407.0,163.53,163.9,162.73,163.44,796464,80.44,81.74,80.39,80.76,2627318,107.19,107.468,106.08,106.93,16882861,54.25,54.46,53.75,54.18,24345845,124.3,126.2,121.66,125.04,14433446,31.65,31.65,30.805,30.91,5240185,39.44,39.53,39.05,39.145,7882632,31.42,31.69,30.99,31.31,100604448,105.0,106.03,104.29,105.43,1042355.0,209.38,209.98,208.52,209.06,54738608,13.0,13.15,12.1,12.1,4859042,76.42,76.7,76.02,76.15,425575,112.97,114.49,112.1,112.15,3006888.0
2015-11-24,99.28,99.45,98.32,99.27,1054663.0,80.85,81.11,79.27,80.79,12496062,360.53,361.4564,356.6,356.87,601783.0,162.51,163.92,161.0,162.19,2252206,80.3,80.8,79.13,80.4,2696677,106.0,106.49,104.39,105.75,21111643,53.92,54.44,53.58,54.26,21248884,123.67,124.66,120.03,123.3,15577266,30.92,31.44,30.78,31.16,4034078,38.78,39.62,38.78,39.47,11667947,31.38,32.15,31.215,31.985,74101573,104.53,106.04,104.53,105.5,744893.0,207.87,209.83,207.41,209.38,81748691,12.0,12.23,11.52,12.02,4462720,75.24,75.78,74.9701,75.63,593463,111.7,113.45,111.06,113.23,2363542.0
2015-11-25,99.15,99.6,98.9,99.07,622603.0,80.91,82.675,80.82,81.63,13755605,358.01,362.262,356.8,360.5901,294943.0,162.09,162.8,150.47,162.41,1531429,80.37,81.12,79.75,80.4,2089252,106.39,106.6,105.1,105.43,12931967,54.16,54.23,53.69,53.7,17641181,124.23,125.2,122.36,124.16,9403198,31.11,31.48,31.02,31.14,2925011,39.47,39.6,39.245,39.27,6393772,32.36,33.24,32.205,32.88,73636122,105.91,106.76,105.38,106.5,868921.0,209.5,209.74,209.01,209.32,42760518,12.12,12.4,11.85,11.9,2903253,75.59,76.42,75.34,76.01,631376,113.47,115.05,113.0,114.42,2408146.0
2015-11-27,99.09,100.0426,99.09,99.7,367421.0,80.55,81.41,79.275,81.25,11119876,359.65,360.0,355.27,358.52,179634.0,163.11,164.41,162.49,163.58,637964,80.22,80.48,79.45,79.96,1897575,105.78,105.96,104.86,105.47,5193953,53.81,54.08,53.79,53.94,7601851,123.85,126.39,123.59,125.43,5951558,31.19,31.49,31.03,31.39,1826852,39.14,39.34,39.08,39.19,5379811,32.92,33.0,32.67,32.8,13948284,106.28,106.68,105.54,106.23,391806.0,209.43,209.8,208.86,209.53,27557063,12.05,12.31,11.9,12.05,886849,76.06,76.13,75.49,75.95,413654,114.49,115.9,114.08,114.32,1431484.0
2015-11-30,99.95,100.21,99.23,99.42,1126101.0,81.5,84.47,81.38,84.09,35966311,359.16,364.87,358.34,364.0,530146.0,164.17,164.44,160.79,161.42,1599222,79.73,80.18,79.29,79.66,2976751,105.88,106.0999,103.75,104.36,16144213,54.56,54.96,53.9999,54.36,42895605,126.03,126.6,122.89,123.36,12173740,31.42,31.86,31.39,31.71,5812959,39.11,39.29,39.0,39.01,13559860,32.91,32.91,32.53,32.78,31936174,106.36,106.49,105.12,105.76,1037552.0,209.75,209.89,208.56,208.67,78967202,12.28,12.35,11.9,11.94,1843301,76.16,76.41,75.48,76.15,988674,114.56,114.815,112.62,112.73,2924969.0
2015-12-01,99.5,101.19,99.5,101.16,1427015.0,83.77,84.39,83.5,84.0,21758655,362.94,364.808,360.24,361.72,494565.0,162.02,163.04,160.74,161.28,1506157,80.35,81.1,79.65,80.99,2878232,104.83,107.15,104.5,107.09,19864325,54.37,55.23,54.3,55.21,34267517,124.4,125.57,122.42,125.36,11302660,32.0,32.79,31.97,32.75,9229959,39.09,39.275,38.91,39.23,10849592,32.95,33.73,32.8,33.63,43011080,106.39,106.87,105.82,106.74,707215.0,209.44,210.82,209.11,210.74,80426519,12.12,12.18,11.89,11.9,1169716,76.6,77.05,76.02,76.46,992870,113.53,116.37,113.05,116.3,3182038.0
2015-12-02,100.96,101.24,99.24,99.47,1271853.0,84.27,85.82,84.25,84.98,31721053,360.7,363.41,356.13,358.92,765495.0,161.71,162.44,160.63,161.09,1125641,80.77,81.94,80.42,80.87,2688155,107.0,107.92,105.79,106.07,20552115,55.38,55.96,55.06,55.23,38264991,125.53,131.35,124.93,128.93,22126214,32.8,33.14,32.43,32.5,6486474,39.15,39.39,38.65,38.7,11451458,33.67,33.83,32.79,32.91,27271713,106.2,106.81,105.08,105.35,709082.0,210.61,211.0,208.23,208.5,88408000,11.97,12.155,11.9,11.9698,1639534,76.5,76.59,75.3,75.56,851779,116.24,119.38,115.84,117.68,4566732.0
