,VZ,,MCD,,SBUX,,CLX,,COST,,PSX,,BLK,,TROW,,JNJ,,UNH,,MMM,,UPS
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
10/1/2015 16:00,42.96,3/3/2015 16:00,116.07,10/1/2015 16:00,57.48,10/1/2015 16:00,115.38,10/1/2015 16:00,144.56,10/1/2015 16:00,77.93,10/1/2015 16:00,295.92,10/1/2015 16:00,68.59,10/1/2015 16:00,93.17,10/1/2015 16:00,116.61,10/1/2015 16:00,140.8,10/1/2015 16:00,98.58
10/2/2015 16:00,42.84,3/4/2015 16:00,114.76,10/2/2015 16:00,58.08,10/2/2015 16:00,116.93,10/2/2015 16:00,145.86,10/2/2015 16:00,79.48,10/2/2015 16:00,303.36,10/2/2015 16:00,68.74,10/2/2015 16:00,93.93,10/2/2015 16:00,118.83,10/2/2015 16:00,143.2,10/2/2015 16:00,99.38
10/5/2015 16:00,44,3/5/2015 16:00,115.91,10/5/2015 16:00,59.04,10/5/2015 16:00,118.38,10/5/2015 16:00,148.07,10/5/2015 16:00,81.82,10/5/2015 16:00,313.61,10/5/2015 16:00,70.75,10/5/2015 16:00,94.76,10/5/2015 16:00,119.65,10/5/2015 16:00,146.32,10/5/2015 16:00,101.53
10/6/2015 16:00,44.06,3/6/2015 16:00,114.45,10/6/2015 16:00,58.69,10/6/2015 16:00,118.35,10/6/2015 16:00,148.41,10/6/2015 16:00,82.58,10/6/2015 16:00,312.73,10/6/2015 16:00,70.63,10/6/2015 16:00,93.42,10/6/2015 16:00,116.05,10/6/2015 16:00,145.79,10/6/2015 16:00,101.43
10/7/2015 16:00,43.85,3/9/2015 16:00,115.25,10/7/2015 16:00,58.78,10/7/2015 16:00,119,10/7/2015 16:00,147.96,10/7/2015 16:00,83.24,10/7/2015 16:00,320.64,10/7/2015 16:00,71.98,10/7/2015 16:00,94.98,10/7/2015 16:00,116.43,10/7/2015 16:00,147.54,10/7/2015 16:00,102.24
10/8/2015 16:00,44.23,3/10/2015 16:00,112.56,10/8/2015 16:00,59.46,10/8/2015 16:00,120.18,10/8/2015 16:00,151.66,10/8/2015 16:00,84.58,10/8/2015 16:00,318.57,10/8/2015 16:00,72.04,10/8/2015 16:00,95.08,10/8/2015 16:00,116.08,10/8/2015 16:00,149.48,10/8/2015 16:00,103.38
10/9/2015 16:00,44.16,3/11/2015 16:00,113.07,10/9/2015 16:00,60.07,10/9/2015 16:00,120.52,10/9/2015 16:00,153.97,10/9/2015 16:00,83.52,10/9/2015 16:00,318.11,10/9/2015 16:00,71.5,10/9/2015 16:00,95.37,10/9/2015 16:00,119.27,10/9/2015 16:00,149.9,10/9/2015 16:00,103.68
10/12/2015 16:00,44.3,3/12/2015 16:00,116.1,10/12/2015 16:00,60.54,10/12/2015 16:00,120.75,10/12/2015 16:00,153.63,10/12/2015 16:00,83.87,10/12/2015 16:00,315.66,10/12/2015 16:00,70.24,10/12/2015 16:00,95.99,10/12/2015 16:00,122.51,10/12/2015 16:00,150.06,10/12/2015 16:00,104.41
10/13/2015 16:00,44.36,3/13/2015 16:00,114.82,10/13/2015 16:00,60.16,10/13/2015 16:00,120.55,10/13/2015 16:00,152.28,10/13/2015 16:00,82.16,10/13/2015 16:00,315.12,10/13/2015 16:00,69.15,10/13/2015 16:00,95.45,10/13/2015 16:00,123.99,10/13/2015 16:00,149.11,10/13/2015 16:00,103.3
