,ACN,,PPG,,AMT,,NEE
Date,Close,Date,Close,Date,Close,Date,Close
10/1/2015 16:00,98.44,10/1/2015 16:00,90.13,10/1/2015 16:00,88.38,10/1/2015 16:00,96.55
10/2/2015 16:00,99.39,10/2/2015 16:00,92.66,10/2/2015 16:00,89.74,10/2/2015 16:00,98.54
10/5/2015 16:00,101.62,10/5/2015 16:00,94.59,10/5/2015 16:00,93.46,10/5/2015 16:00,100.72
10/6/2015 16:00,101.5,10/6/2015 16:00,93.4,10/6/2015 16:00,93.37,10/6/2015 16:00,99.85
10/7/2015 16:00,102.62,10/7/2015 16:00,94.31,10/7/2015 16:00,94.24,10/7/2015 16:00,99.93
10/8/2015 16:00,105.01,10/8/2015 16:00,95.77,10/8/2015 16:00,95.57,10/8/2015 16:00,100.85
10/9/2015 16:00,104.78,10/9/2015 16:00,95.97,10/9/2015 16:00,94.94,10/9/2015 16:00,101.05
10/12/2015 16:00,105.05,10/12/2015 16:00,97.34,10/12/2015 16:00,94.8,10/12/2015 16:00,101.45
10/13/2015 16:00,103.48,10/13/2015 16:00,97.18,10/13/2015 16:00,93.7,10/13/2015 16:00,101.24
10/14/2015 16:00,102.43,10/14/2015 16:00,97.32,10/14/2015 16:00,93.06,10/14/2015 16:00,100.93
10/15/2015 16:00,102.3,10/15/2015 16:00,99.26,10/15/2015 16:00,94.65,10/15/2015 16:00,103.2
10/16/2015 16:00,103.01,10/16/2015 16:00,100.74,10/16/2015 16:00,96.13,10/16/2015 16:00,103.66
10/19/2015 16:00,103.1,10/19/2015 16:00,101.18,10/19/2015 16:00,96.79,10/19/2015 16:00,103.77
10/20/2015 16:00,103.47,10/20/2015 16:00,101.38,10/20/2015 16:00,96.91,10/20/2015 16:00,103.94
10/21/2015 16:00,102.52,10/21/2015 16:00,100.64,10/21/2015 16:00,96.06,10/21/2015 16:00,104.2
10/22/2015 16:00,106.46,10/22/2015 16:00,103.62,10/22/2015 16:00,99.47,10/22/2015 16:00,105.71
10/23/2015 16:00,107.99,10/23/2015 16:00,103.99,10/23/2015 16:00,99.17,10/23/2015 16:00,104.56
10/26/2015 16:00,107.97,10/26/2015 16:00,103.93,10/26/2015 16:00,99.53,10/26/2015 16:00,103.85
10/27/2015 16:00,107.87,10/27/2015 16:00,102.93,10/27/2015 16:00,99.27,10/27/2015 16:00,104.1
10/28/2015 16:00,109.73,10/28/2015 16:00,104.33,10/28/2015 16:00,100.87,10/28/2015 16:00,102.95
10/29/2015 16:00,107.95,10/29/2015 16:00,104.28,10/29/2015 16:00,101.96,10/29/2015 16:00,101.78
10/30/2015 16:00,107.2,10/30/2015 16:00,104.26,10/30/2015 16:00,102.23,10/30/2015 16:00,102.66
11/2/2015 16:00,107.6,11/2/2015 16:00,104,11/2/2015 16:00,104.06,11/2/2015 16:00,102.23
11/3/2015 16:00,107.31,11/3/2015 16:00,104.19,11/3/2015 16:00,103.28,11/3/2015 16:00,102.31
11/4/2015 16:00,106.52,11/4/2015 16:00,103.86,11/4/2015 16:00,102.23,11/4/2015 16:00,103.22
11/5/2015 16:00,106.09,11/5/2015 16:00,103.21,11/5/2015 16:00,100.87,11/5/2015 16:00,102.1
11/6/2015 16:00,106,11/6/2015 16:00,103,11/6/2015 16:00,98.03,11/6/2015 16:00,98.84
11/9/2015 16:00,104.88,11/9/2015 16:00,101.73,11/9/2015 16:00,97.11,11/9/2015 16:00,98.91
11/10/2015 16:00,105.07,11/10/2015 16:00,101.12,11/10/2015 16:00,97.13,11/10/2015 16:00,99
11/11/2015 16:00,105.1,11/11/2015 16:00,101.61,11/11/2015 16:00,97.62,11/11/2015 16:00,99.72
11/12/2015 16:00,104.32,11/12/2015 16:00,99.21,11/12/2015 16:00,97.35,11/12/2015 16:00,100.73
11/13/2015 16:00,103.15,11/13/2015 16:00,100.83,11/13/2015 16:00,96.38,11/13/2015 16:00,100.43
11/16/2015 16:00,106.33,11/16/2015 16:00,101.95,11/16/2015 16:00,98.05,11/16/2015 16:00,102.12
11/17/2015 16:00,106.29,11/17/2015 16:00,101.71,11/17/2015 16:00,98.35,11/17/2015 16:00,100.75
11/18/2015 16:00,107.88,11/18/2015 16:00,104.23,11/18/2015 16:00,99.66,11/18/2015 16:00,99.7
11/19/2015 16:00,107.28,11/19/2015 16:00,103.37,11/19/2015 16:00,99.63,11/19/2015 16:00,100.99
11/20/2015 16:00,107.97,11/20/2015 16:00,104.62,11/20/2015 16:00,100.49,11/20/2015 16:00,101.02
11/23/2015 16:00,107.84,11/23/2015 16:00,105.47,11/23/2015 16:00,99.94,11/23/2015 16:00,100.49
11/24/2015 16:00,107.35,11/24/2015 16:00,105.49,11/24/2015 16:00,99.26,11/24/2015 16:00,99.41
11/25/2015 16:00,107.1,11/25/2015 16:00,106.46,11/25/2015 16:00,99.09,11/25/2015 16:00,98.88
11/27/2015 16:00,107.46,11/27/2015 16:00,106.21,11/27/2015 16:00,99.68,11/27/2015 16:00,99.37
11/30/2015 16:00,107.22,11/30/2015 16:00,105.74,11/30/2015 16:00,99.38,11/30/2015 16:00,99.86
12/1/2015 16:00,108.13,12/1/2015 16:00,106.76,12/1/2015 16:00,101.17,12/1/2015 16:00,100.57
12/2/2015 16:00,107.59,12/2/2015 16:00,105.34,12/2/2015 16:00,99.46,12/2/2015 16:00,97.99
